Entity,Year,Domestic tourists staying in hotels ,Foreign guests in hotels ,Region
Albania,2022,644000,846000,Europe
Algeria,2022,2848000,202000,Africa
Angola,2022,421000,275000,Africa
Argentina,2022,16604000,2684000,South America
Australia,2022,37727000,1324000,Oceania
Austria,2022,10505000,17592000,Europe
Azerbaijan,2022,789000,908000,Asia
Belarus,2022,1101000,797000,Europe
Belgium,2022,5077000,5728000,Europe
Bolivia,2022,1077000,209000,South America
Bosnia and Herzegovina,2022,534000,882000,Europe
Bulgaria,2022,3958000,2984000,Europe
Burkina Faso,2022,415000,116000,Africa
Cape Verde,2022,50700,785000,Africa
Croatia,2022,1387000,5079000,Europe
Czechia,2022,9126000,6356000,Europe
Denmark,2022,7134000,3375000,Europe
Ecuador,2022,2099000,945000,South America
Estonia,2022,1367000,1333000,Europe
Eswatini,2022,129600.01,88600,Africa
Finland,2022,8107000,1860000,Europe
France,2022,82428000,32886000,Europe
Georgia,2022,1947000,2981000,Asia
Germany,2022,102693000,24979000,Europe
Greece,2022,6663000,18230000,Europe
Hungary,2022,5373000,3861000,Europe
Indonesia,2022,96630000,3639000,Asia
Israel,2022,7412000,2380000,Asia
Italy,2022,46766000,36609000,Europe
Japan,2022,303920000,8034000,Asia
Jordan,2022,999000,2135000,Asia
Kyrgyzstan,2022,311000,129000,Asia
Latvia,2022,688000,1028000,Europe
Liechtenstein,2022,1300,85000,Europe
Lithuania,2022,1457000,986000,Europe
Luxembourg,2022,115000,733000,Europe
Mali,2022,23700,36000,Africa
Mexico,2022,60624000,21302000,North America
Moldova,2022,79000,142000,Europe
Monaco,2022,5100,327000,Europe
Montenegro,2022,140000,1026000,Europe
Morocco,2022,3505000,3424000,Africa
Netherlands,2022,16469000,11656000,Europe
Nicaragua,2022,328900,92200,North America
North Macedonia,2022,225000,523000,Europe
Norway,2022,10963000,3030100,Europe
Palestine,2022,97000,362000,Asia
Peru,2022,48234000,5033000,South America
Poland,2022,21907000,5268000,Europe
Portugal,2022,8899000,12297000,Europe
Puerto Rico,2022,663000,1785000,North America
Romania,2022,10772000,1667000,Europe
Saudi Arabia,2022,48314000,10957000,Asia
Serbia,2022,1060000,1214000,Europe
Slovenia,2022,986000,2055000,Europe
Spain,2022,53314000,49568000,Europe
Sweden,2022,19153000,4189000,Europe
Switzerland,2022,10581900,7735700,Europe
Tunisia,2022,2882000,2691000,Africa
Turkey,2022,45963000,45902000,Asia
Zimbabwe,2022,461000,131000,Africa
